game_date,home_team,away_team,inning,inning_topbot,batter,pitcher,launch_speed,launch_angle,events,description,event_type,is_hit
2025-05-28,SEA,WSH,4,Bot,663728,592866,103.8,48.0,field_out,hit_into_play,field_out,0
2025-05-28,SEA,WSH,2,Bot,663728,592866,102.4,36.0,field_out,hit_into_play,field_out,0
2025-05-28,SEA,WSH,7,Bot,663728,695418,91.3,11.0,single,hit_into_play,single,1
2025-05-28,SEA,WSH,9,Bot,663728,694350,97.5,45.0,field_out,hit_into_play,field_out,0
2025-05-27,SEA,WSH,2,Bot,663728,680730,75.1,35.0,field_out,hit_into_play,field_out,0
2025-05-27,SEA,WSH,1,Bot,663728,680730,112.1,40.0,home_run,hit_into_play,home_run,1
2025-05-27,SEA,WSH,5,Bot,663728,680730,107.3,22.0,home_run,hit_into_play,home_run,1
2025-05-25,HOU,SEA,5,Top,663728,676467,78.0,71.0,field_out,hit_into_play,field_out,0
2025-05-25,HOU,SEA,9,Top,663728,687911,87.7,7.0,single,hit_into_play,single,1
2025-05-25,HOU,SEA,1,Top,663728,676467,101.6,41.0,field_out,hit_into_play,field_out,0
2025-05-24,HOU,SEA,1,Top,663728,664285,105.9,38.0,field_out,hit_into_play,field_out,0
2025-05-23,HOU,SEA,6,Top,663728,656986,86.7,20.0,single,hit_into_play,single,1
2025-05-23,HOU,SEA,7,Top,663728,650556,111.8,41.0,home_run,hit_into_play,home_run,1
2025-05-22,HOU,SEA,7,Top,663728,687911,109.0,12.0,single,hit_into_play,single,1
2025-05-22,HOU,SEA,5,Top,663728,621121,94.7,-3.0,single,hit_into_play,single,1
2025-05-21,CWS,SEA,6,Top,663728,685126,100.3,25.0,home_run,hit_into_play,home_run,1
2025-05-21,CWS,SEA,3,Top,663728,681343,104.3,19.0,double,hit_into_play,double,1
2025-05-20,CWS,SEA,4,Top,663728,605288,110.0,13.0,double,hit_into_play,double,1
2025-05-20,CWS,SEA,7,Top,663728,685126,94.3,32.0,field_out,hit_into_play,field_out,0
2025-05-20,CWS,SEA,9,Top,663728,673929,82.4,60.0,field_out,hit_into_play,field_out,0
2025-05-20,CWS,SEA,1,Top,663728,605288,95.6,64.0,field_out,hit_into_play,field_out,0
2025-05-19,CWS,SEA,7,Top,663728,663436,102.0,47.0,field_out,hit_into_play,field_out,0
2025-05-19,CWS,SEA,2,Top,663728,663436,82.9,74.0,field_out,hit_into_play,field_out,0
2025-05-19,CWS,SEA,4,Top,663728,663436,98.6,3.0,field_out,hit_into_play,field_out,0
2025-05-18,SD,SEA,9,Top,663728,689690,98.4,23.0,sac_fly,hit_into_play,sac_fly,0
2025-05-17,SD,SEA,7,Top,663728,670970,109.6,41.0,home_run,hit_into_play,home_run,1
2025-05-16,SD,SEA,1,Top,663728,663568,92.3,-3.0,grounded_into_double_play,hit_into_play,grounded_into_double_play,0
2025-05-16,SD,SEA,6,Top,663728,663568,101.0,34.0,home_run,hit_into_play,home_run,1
2025-05-14,SEA,NYY,8,Bot,663728,518585,106.2,20.0,single,hit_into_play,single,1
2025-05-14,SEA,NYY,6,Bot,663728,554431,84.6,22.0,single,hit_into_play,single,1
2025-05-14,SEA,NYY,3,Bot,663728,701542,105.8,18.0,field_out,hit_into_play,field_out,0
2025-05-13,SEA,NYY,4,Bot,663728,608331,105.6,21.0,double,hit_into_play,double,1
2025-05-13,SEA,NYY,1,Bot,663728,608331,92.9,22.0,field_out,hit_into_play,field_out,0
2025-05-13,SEA,NYY,9,Bot,663728,596133,57.7,-50.0,field_out,hit_into_play,field_out,0
2025-05-12,SEA,NYY,6,Bot,663728,657376,94.8,53.0,field_out,hit_into_play,field_out,0
2025-05-12,SEA,NYY,8,Bot,663728,657612,106.0,26.0,home_run,hit_into_play,home_run,1
2025-05-12,SEA,NYY,1,Bot,663728,657376,58.5,65.0,field_out,hit_into_play,field_out,0
2025-05-12,SEA,NYY,3,Bot,663728,657376,92.1,22.0,field_out,hit_into_play,field_out,0
2025-05-10,SEA,TOR,6,Bot,663728,670102,83.9,53.0,field_out,hit_into_play,field_out,0
2025-05-10,SEA,TOR,2,Bot,663728,670102,88.7,64.0,field_out,hit_into_play,field_out,0
2025-05-09,SEA,TOR,4,Bot,663728,592332,69.1,22.0,field_out,hit_into_play,field_out,0
2025-05-09,SEA,TOR,2,Bot,663728,592332,92.3,67.0,field_out,hit_into_play,field_out,0
