game_date,home_team,away_team,inning,inning_topbot,batter,player_name,pitcher,launch_speed,events,description,event_type,is_hit
2025-04-30,SEA,LAA,3,Top,681351,"Hancock, Emerson",676106,83.4,field_error,hit_into_play,field_error,0
2025-04-30,SEA,LAA,7,Top,681351,"Legumina, Casey",668984,86.2,field_out,hit_into_play,field_out,0
2025-04-30,SEA,LAA,6,Top,677347,"Hancock, Emerson",676106,64.3,,foul,foul,0
2025-04-30,SEA,LAA,3,Top,681351,"Hancock, Emerson",676106,68.4,,foul,foul,0
2025-04-30,SEA,LAA,2,Top,677347,"Hancock, Emerson",676106,74.3,field_out,hit_into_play,field_out,0
2025-04-30,SEA,LAA,7,Top,666176,"Legumina, Casey",668984,87.2,single,hit_into_play,single,1
2025-04-30,SEA,LAA,6,Top,687263,"Hancock, Emerson",676106,97.9,single,hit_into_play,single,1
2025-04-30,SEA,LAA,6,Top,677347,"Hancock, Emerson",676106,32.7,,foul,foul,0
2025-04-30,SEA,LAA,4,Top,666176,"Hancock, Emerson",676106,83.5,field_out,hit_into_play,field_out,0
2025-04-30,SEA,LAA,4,Top,672569,"Hancock, Emerson",676106,42.6,single,hit_into_play,single,1
2025-04-30,SEA,LAA,8,Top,677347,"Bazardo, Eduard",660825,92.2,field_out,hit_into_play,field_out,0
2025-04-30,SEA,LAA,8,Top,672569,"Bazardo, Eduard",660825,100.9,field_out,hit_into_play,field_out,0
2025-04-30,SEA,LAA,5,Top,672569,"Hancock, Emerson",676106,76.2,field_out,hit_into_play,field_out,0
2025-04-30,SEA,LAA,3,Top,681351,"Hancock, Emerson",676106,89.8,,foul,foul,0
2025-04-30,SEA,LAA,3,Top,545361,"Hancock, Emerson",676106,71.2,field_out,hit_into_play,field_out,0
2025-04-30,SEA,LAA,2,Top,677347,"Hancock, Emerson",676106,70.1,,foul,foul,0
2025-04-30,SEA,LAA,9,Top,694384,"Taylor, Troy",700187,100.9,field_out,hit_into_play,field_out,0
2025-04-30,SEA,LAA,9,Top,687263,"Taylor, Troy",700187,81.0,field_out,hit_into_play,field_out,0
2025-04-30,SEA,LAA,8,Top,621028,"Bazardo, Eduard",660825,85.2,field_out,hit_into_play,field_out,0
2025-04-30,SEA,LAA,8,Top,677347,"Bazardo, Eduard",660825,74.6,,foul,foul,0
2025-04-30,SEA,LAA,7,Top,650859,"Legumina, Casey",668984,96.5,field_out,hit_into_play,field_out,0
2025-04-30,SEA,LAA,7,Top,666176,"Legumina, Casey",668984,60.7,,foul,foul,0
2025-04-30,SEA,LAA,6,Top,694384,"Hancock, Emerson",676106,97.1,,foul,foul,0
2025-04-30,SEA,LAA,6,Top,621028,"Hancock, Emerson",676106,56.9,field_out,hit_into_play,field_out,0
2025-04-30,SEA,LAA,6,Top,677347,"Hancock, Emerson",676106,67.6,,foul,foul,0
2025-04-30,SEA,LAA,5,Top,681351,"Hancock, Emerson",676106,100.0,single,hit_into_play,single,1
2025-04-30,SEA,LAA,4,Top,666176,"Hancock, Emerson",676106,75.6,,foul,foul,0
2025-04-30,SEA,LAA,4,Top,677347,"Hancock, Emerson",676106,78.0,,foul,foul,0
2025-04-30,SEA,LAA,4,Top,672569,"Hancock, Emerson",676106,69.4,,foul,foul,0
2025-04-30,SEA,LAA,1,Top,681351,"Hancock, Emerson",676106,85.0,single,hit_into_play,single,1
2025-04-30,SEA,LAA,9,Top,666176,"Taylor, Troy",700187,53.0,field_out,hit_into_play,field_out,0
2025-04-30,SEA,LAA,7,Top,650859,"Legumina, Casey",668984,91.5,,foul,foul,0
2025-04-30,SEA,LAA,7,Top,681351,"Legumina, Casey",668984,67.4,,foul,foul,0
2025-04-30,SEA,LAA,7,Top,624585,"Legumina, Casey",668984,67.3,field_out,hit_into_play,field_out,0
2025-04-30,SEA,LAA,5,Top,650859,"Hancock, Emerson",676106,70.5,field_out,hit_into_play,field_out,0
2025-04-30,SEA,LAA,5,Top,624585,"Hancock, Emerson",676106,89.6,field_out,hit_into_play,field_out,0
2025-04-30,SEA,LAA,4,Top,687263,"Hancock, Emerson",676106,59.8,force_out,hit_into_play,force_out,0
2025-04-30,SEA,LAA,4,Top,621028,"Hancock, Emerson",676106,74.8,single,hit_into_play,single,1
2025-04-30,SEA,LAA,3,Top,650859,"Hancock, Emerson",676106,70.9,single,hit_into_play,single,1
2025-04-30,SEA,LAA,3,Top,681351,"Hancock, Emerson",676106,46.2,,foul,foul,0
2025-04-30,SEA,LAA,3,Top,694384,"Hancock, Emerson",676106,83.0,field_out,hit_into_play,field_out,0
2025-04-30,SEA,LAA,2,Top,687263,"Hancock, Emerson",676106,69.7,field_out,hit_into_play,field_out,0
2025-04-30,SEA,LAA,2,Top,621028,"Hancock, Emerson",676106,99.1,field_out,hit_into_play,field_out,0
2025-04-30,SEA,LAA,2,Top,672569,"Hancock, Emerson",676106,77.3,,foul,foul,0
2025-04-30,SEA,LAA,1,Top,650859,"Hancock, Emerson",676106,83.7,field_out,hit_into_play,field_out,0
2025-04-30,SEA,LAA,1,Top,545361,"Hancock, Emerson",676106,81.0,single,hit_into_play,single,1
2025-04-30,SEA,LAA,1,Top,687263,"Hancock, Emerson",676106,85.3,,foul,foul,0
2025-04-30,SEA,LAA,5,Top,650859,"Hancock, Emerson",676106,67.8,,foul,foul,0
2025-04-30,SEA,LAA,4,Top,666176,"Hancock, Emerson",676106,115.8,,foul,foul,0
2025-04-30,SEA,LAA,4,Top,672569,"Hancock, Emerson",676106,78.6,,foul,foul,0
2025-04-30,SEA,LAA,3,Top,624585,"Hancock, Emerson",676106,104.4,home_run,hit_into_play,home_run,1
2025-04-30,SEA,LAA,2,Top,677347,"Hancock, Emerson",676106,79.6,,foul,foul,0
2025-04-30,SEA,LAA,1,Top,694384,"Hancock, Emerson",676106,77.0,single,hit_into_play,single,1
2025-04-29,SEA,LAA,6,Top,624585,"Snider, Collin",676092,92.1,field_out,hit_into_play,field_out,0
2025-04-29,SEA,LAA,6,Top,624585,"Snider, Collin",676092,75.8,,foul,foul,0
2025-04-29,SEA,LAA,5,Top,666176,"Miller, Bryce",682243,69.5,,foul,foul,0
2025-04-29,SEA,LAA,4,Top,681351,"Miller, Bryce",682243,89.1,field_out,hit_into_play,field_out,0
2025-04-29,SEA,LAA,6,Top,545361,"Snider, Collin",676092,96.3,field_out,hit_into_play,field_out,0
2025-04-29,SEA,LAA,5,Top,694384,"Miller, Bryce",682243,83.4,field_out,hit_into_play,field_out,0
2025-04-29,SEA,LAA,4,Top,545361,"Miller, Bryce",682243,83.7,,foul,foul,0
2025-04-29,SEA,LAA,9,Top,677347,"Muñoz, Andrés",662253,96.0,,foul,foul,0
2025-04-29,SEA,LAA,9,Top,666176,"Muñoz, Andrés",662253,105.8,field_out,hit_into_play,field_out,0
2025-04-29,SEA,LAA,8,Top,681351,"Legumina, Casey",668984,91.3,field_out,hit_into_play,field_out,0
2025-04-29,SEA,LAA,9,Top,650859,"Muñoz, Andrés",662253,104.0,field_out,hit_into_play,field_out,0
2025-04-29,SEA,LAA,8,Top,687263,"Speier, Gabe",642100,111.3,double,hit_into_play,double,1
2025-04-29,SEA,LAA,7,Top,677347,"Vargas, Carlos",672841,38.5,,foul,foul,0
2025-04-29,SEA,LAA,7,Top,681351,"Vargas, Carlos",672841,104.4,home_run,hit_into_play,home_run,1
2025-04-29,SEA,LAA,6,Top,624585,"Snider, Collin",676092,76.9,,foul,foul,0
2025-04-29,SEA,LAA,5,Top,687263,"Miller, Bryce",682243,92.6,,foul,foul,0
2025-04-29,SEA,LAA,4,Top,650859,"Miller, Bryce",682243,89.6,field_out,hit_into_play,field_out,0
2025-04-29,SEA,LAA,3,Top,694384,"Miller, Bryce",682243,73.3,grounded_into_double_play,hit_into_play,grounded_into_double_play,0
2025-04-29,SEA,LAA,2,Top,650859,"Miller, Bryce",682243,100.0,grounded_into_double_play,hit_into_play,grounded_into_double_play,0
2025-04-29,SEA,LAA,1,Top,687263,"Miller, Bryce",682243,100.5,field_out,hit_into_play,field_out,0
2025-04-29,SEA,LAA,9,Top,666176,"Muñoz, Andrés",662253,51.9,,foul,foul,0
2025-04-29,SEA,LAA,8,Top,624585,"Legumina, Casey",668984,94.5,double,hit_into_play,double,1
2025-04-29,SEA,LAA,8,Top,545361,"Speier, Gabe",642100,68.6,,foul,foul,0
2025-04-29,SEA,LAA,8,Top,694384,"Speier, Gabe",642100,64.2,double,hit_into_play,double,1
2025-04-29,SEA,LAA,6,Top,545361,"Snider, Collin",676092,74.5,,foul,foul,0
2025-04-29,SEA,LAA,5,Top,666176,"Miller, Bryce",682243,68.0,,foul,foul,0
2025-04-29,SEA,LAA,4,Top,650859,"Miller, Bryce",682243,69.1,,foul,foul,0
2025-04-29,SEA,LAA,3,Top,677347,"Miller, Bryce",682243,48.9,,foul,foul,0
2025-04-29,SEA,LAA,2,Top,650859,"Miller, Bryce",682243,67.0,,foul,foul,0
2025-04-29,SEA,LAA,1,Top,621493,"Miller, Bryce",682243,84.4,field_out,hit_into_play,field_out,0
2025-04-29,SEA,LAA,1,Top,545361,"Miller, Bryce",682243,85.5,single,hit_into_play,single,1
2025-04-29,SEA,LAA,7,Top,666176,"Vargas, Carlos",672841,97.9,field_out,hit_into_play,field_out,0
2025-04-29,SEA,LAA,7,Top,650859,"Vargas, Carlos",672841,82.7,field_out,hit_into_play,field_out,0
2025-04-29,SEA,LAA,6,Top,621493,"Snider, Collin",676092,62.0,,foul,foul,0
2025-04-29,SEA,LAA,5,Top,687263,"Miller, Bryce",682243,86.2,,foul,foul,0
2025-04-29,SEA,LAA,5,Top,677347,"Miller, Bryce",682243,108.7,double,hit_into_play,double,1
2025-04-29,SEA,LAA,4,Top,621493,"Miller, Bryce",682243,77.4,,foul,foul,0
2025-04-29,SEA,LAA,3,Top,677347,"Miller, Bryce",682243,80.9,,foul,foul,0
